max_depth,criterian,splitter,max_features,class_weight_o,class_weight_1,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,entropy,random,sqrt,2,4,0.0,0.738,0.648,0.908,0.757,0.869
3,entropy,random,sqrt,2,4,0.001,0.811,0.802,0.768,0.785,0.842
3,entropy,random,sqrt,2,4,0.01,0.788,0.772,0.746,0.759,0.817
3,entropy,random,sqrt,3,6,0.0,0.789,0.727,0.848,0.783,0.841
3,entropy,random,sqrt,3,6,0.001,0.8,0.814,0.717,0.762,0.847
3,entropy,random,sqrt,3,6,0.01,0.809,0.761,0.837,0.797,0.854
3,entropy,random,sqrt,4,8,0.0,0.81,0.784,0.796,0.79,0.838
3,entropy,random,sqrt,4,8,0.001,0.797,0.774,0.775,0.774,0.847
3,entropy,random,sqrt,4,8,0.01,0.78,0.777,0.715,0.744,0.82
3,entropy,random,sqrt,5,10,0.0,0.792,0.744,0.816,0.778,0.84
3,entropy,random,sqrt,5,10,0.001,0.756,0.666,0.915,0.771,0.86
3,entropy,random,sqrt,5,10,0.01,0.682,0.593,0.918,0.721,0.797
3,entropy,random,log2,1,2,0.0,0.783,0.703,0.894,0.787,0.873
3,entropy,random,log2,1,2,0.001,0.768,0.699,0.848,0.766,0.822
3,entropy,random,log2,1,2,0.01,0.785,0.72,0.85,0.78,0.83
3,entropy,random,log2,2,4,0.0,0.74,0.686,0.774,0.727,0.793
3,entropy,random,log2,2,4,0.001,0.824,0.802,0.806,0.804,0.876
3,entropy,random,log2,2,4,0.01,0.805,0.809,0.739,0.772,0.818
3,entropy,random,log2,3,6,0.0,0.775,0.703,0.863,0.775,0.837
3,entropy,random,log2,3,6,0.001,0.705,0.645,0.761,0.698,0.785
3,entropy,random,log2,3,6,0.01,0.783,0.795,0.694,0.741,0.823
3,entropy,random,log2,4,8,0.0,0.809,0.806,0.754,0.779,0.851
3,entropy,random,log2,4,8,0.001,0.75,0.682,0.827,0.747,0.859
3,entropy,random,log2,4,8,0.01,0.803,0.8,0.749,0.773,0.821
3,entropy,random,log2,5,10,0.0,0.81,0.77,0.822,0.795,0.861
3,entropy,random,log2,5,10,0.001,0.757,0.795,0.618,0.695,0.76
3,entropy,random,log2,5,10,0.01,0.797,0.832,0.686,0.752,0.825
3,entropy,random,,1,2,0.0,0.828,0.801,0.821,0.811,0.905
3,entropy,random,,1,2,0.001,0.828,0.801,0.821,0.811,0.893
3,entropy,random,,1,2,0.01,0.792,0.716,0.888,0.793,0.878
